original_id,customer_message,support_reply,intent,escalation,reply_keywords,ground_truth_notes
UBER_0149,"Hi, somebody in Australia is using my email address for their uber account - please can you message me with a way to sort out removing my email address from their account?",Here to help! Send us a note here; and our team will be able to assist!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0150,have multiple unauthorized charges from Uber on my account. Can someone please provide a phone number to call?,"At this moment, we don't offer phone support for these issues. Visit this link: so our team can assist.",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0151,drivers cancellation behaviour is bad 2 days in a row; email receipt is failing; customer support leaves more to be desired. #failing,Hi there! Our team has recently responded via email. Please reply there if you have additional questions! We apologize for any inconvenience this may be causing you and appreciate your continued patience throughout this matter.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0152,#UberSupport YOUR DRIVER CANCELLED ON ME A VIETNAM ERA VET WITH PHYSICAL LIMITATIONS USING A WALKER SO I HAD TO SIT IN THE STREET WHEN I WAS INSIDE FOR AN ADDITIONAL 15 MINUTES WHY DID YOU #GHARGE MY #CARD $5 #FIVE #DOLLARS FOR #NO SERVICE AND #TROUBLE,Here to help! Send us a note via to assist you further.,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
UBER_0153,your app and website still don’t work,We have followed up via DM.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0154,I'm not sure if you fully resolved the problem yet because although the trip is now showing up I was only paid $1.82 for a trip of over 9 miles and 33 minutes time.,"Hi, Russell! We're aware of a technical issue that is preventing some trips from appearing on the Partner Dashboard. We appreciate your patience as we work to resolve this issue.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0155,I need my account activated back,"We're not able to make changes to accounts via social media due to privacy reasons, Vishaul. Please continue to follow up with your in-app support messages regarding this issue. We appreciate your patience and understanding thus far.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0156,Your customer service is so stupid to give robotic answers. Do they have brain to understand what is written or blindly send the same script for every concern raised?,Hey there! We've just followed up with you via DM.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0157,The problem is that my friend's mobile we have booked uber and the same mobile we kept in the cab and he is not able to login to web as it is asking for OTP which is with the car. so what are the options we have?,Thanks for following up. Please send us a note at so we can further assist you.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0158,. The driver behavior is in a downward spiral !,We're sorry to hear this was your experience! Please contact us via so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0159,"If i am saying that last report was received, that means this feature is already ON in App settings.Can you please check with your backend?","We're happy to take a closer look, Nitish. Please send us a note at and a member of our team will follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0160,"Hey, could you reply to my DM please, I think you've charged me twice","We're here to help! Send us a note here, and our team will be in touch.",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0161,No charge but he was very rude,"Thanks for that information, we'll make sure to look into this and take all appropriate actions.",Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
UBER_0162,I’m so pissed off at right now. How the hell yall lock someone’s account while they’re at the airport trying to get a mf ride,Sorry to hear this was your experience. Contact us via so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0163,"Me: I'm having trouble logging in in Boston, where I live and Drive. It's trying to make me sign up to drive in Los Angeles. (15 minutes later): Oh Sorry, here's a link to Detroit. Tweet 1","Hello, Adam. We've checked into your concern and show a member of our team sent you a message via in-app support. Just navigate to the 'Help' section in the app - from there you can respond with additional concerns. Thank you for your patience.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0164,I did already an hour ago,Here to assist. Please send us a DM of the email address connected to your account so we can take a closer look.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0165,am trying to explaining the issue with customer service along with the screenshot but they seem to not get it. Pls help,"Happy to help, Srinu! Can you DM us your email address associated with your Uber account so we can follow up?",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0166,"looks customers are services using automated chatbots in India, they fail to understand customer issue and keep repeating with same standards response, probably with no or little investigation and there is no way to reach out them for clarification",Here to help! Please DM (direct message) us your email address so we can assist. Thanks!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0167,"Hi,...awaiting your response...",Thanks for following up! Please confirm your email address or phone number through direct message so we can further assist.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0168,:( I left my keys in the car & my driver isn’t contacting me back. Please help!!,We can take a look! Send us a DM with your email address so we can follow up.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
UBER_0169,"my car is showing up as invalid, can you guys please activate it so I can work!","Here to help! For more info, please click here:",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0170,Lmao fuck ! They purposely make the driver go out the way to make your ride longer so they can make more money,"Here to help! Send us a note here, and our team will follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0171,No shade but I want to tell u about 2 San Fran drivers who called me to ask my destination & then canceled the ride. Is that allowed?,"Happy to help! Send us a note here, and our team will follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0172,I already contacted you via your site and also contacted the restaurant and my issue is not resolved.,We're here to help! Send us a DM with your email address so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0173,How can be so hard to fix a problem? They sent me 6 times the same wrong receipt. This is so unprofessional and disrespectful.,We see your message and will be following up via DM.,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
UBER_0174,you suck ! Randomly charging my account with cancellation fees wtf 🤨🙄,We're sorry to hear about the trouble! Please contact us via so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0175,"sis, you never gave me an email or an option to purchase in the first place","Hi, Noah. We would recommend keeping an eye out for further email communications related to the ride pass!",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0176,How do you make money in Dallas when your app can’t find a driver and cancels my orders after making me wait 45min... smh,"We're here to help! Send us a note here, and our team will be in touch.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0177,So what’s up?! No response so far once again. I’m very impressed with your total lack of support. Terrible customer care! #Uber,"Hey, Jason. It looks like a member of our team has been in touch through in-app support and email. You're going to need to follow up there so that we can assist further. We appreciate your understanding.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0178,Booked one a while ago. Here's d call history when I 1st called the driver to check on him and then to again check where he is. He said has a new policy of auto cancellation!! Is this how a daily customer gets treated?? Plz explain ur new policy and make good.,Sorry to hear about that! Can you please contact us via so our team can connect?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0179,"Help? ""Your vehicle is not allowed to operate in Austin."" I've signed out,signed in, deleted,reinstalled driver app on iOS.",We'll gladly look into this for you. Please DM us the email on your account and we'll be in touch shortly.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0180,a friend who doesn't have social media left something in her Uber. It's been 2 days and nobody has responded. Can you assist?,Happy to help! Have your friend send us a note here: and a member of our team will be in touch asap.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
UBER_0181,I like to send him a thank you card.,Please connect with us at so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0182,". just stole $30.85 from me and is unwilling to help. Placed an order for delivery, never got my food, and the order was apparently canceled after it was picked up by the / driver. No one seems to want to own this problem. Ridiculous.","We have replied via DM with some information, please follow up with us there.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0183,I am disappointed by the poor service I received from #UberEatsSouthAfrica You charged me twice for a single order. #poorservice,Here to help! Send us a note via and we'll be in touch.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0184,how do I escalate an issue past the CSRs who respond first in the app?,We'd like to look into this. Can you please provide us more details via DM?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0185,hey I tried adding a card to my account today & was told I'm kicked off your app forever & you have virtually 0 customer service.. wtf,Hi there! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0186,What to DM?? This is a serious issue that has taken place.. a vegetarian has been served a non veg food.. this is gross mistake at your part,Hey Ankit - you can DM us using the following link.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0187,Last time I used uber the driver threatened to knife another driver whilst having an argument through the windows of their cars!,So sorry about the trouble! Please send us a DM with your email address so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0188,pls call 700 880 700 5 now,"Hi, Himansu. A member of our team has been in touch via email, please check your inbox and follow up there directly.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0189,I am not able to login,"Sorry to hear about the trouble. Please try deleting the app, then reinstalling to make sure you have the latest version, and try signing in from there. Let us know if this works out for you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0190,How comes McDonald’s Sheffield High Street isn’t open for delivery until tomorrow? It’s ridiculous.,We're here to help! Send us a DM with your email address so we can assist.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0191,Complaint2.1 this is the second time I'm writing a complaint here coz you don't have a proper customer care.,Here to help! Send us a note via and we'll be in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0192,why all my rides waiting time is more than 10min ? Uber in Brazil is getting pretty bad quickly even for uber vips,"Hi there! We're here to help. Send us a note here, and so our team will assist.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0193,Happy Black Friday! My bank account was hacked 🙃 thanks !!!!! 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃,Happy to follow up. Send us a note at so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0194,Still waiting on that email?,"We've responded via PM, Kristina.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0195,"aik?? recently i was informed due to many accounts, uber focussed to my email (__email__) and uber terminated my other acc..","We can confirm we have followed up with the email address linked to your account. You can also see our messages via the ""Your Trips"" tab.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0196,called and they stated theres issues w the app nobody told me and every question after they did not answer but gave me random information This is way below minimum wage i drove through 2 surging areas. Uber needs to inform their drivers better #Uber,Here to help. Send us a note at so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0197,just had the most aggressively rude driver I've ever had the misfortune of being picked up by. I was out in less than a minute due to his harsh behaviour. And then I got a cancellation fee. The man who just picked me up should not work In the service industry!,That's not ok! Send us a note at and our team will follow up right away.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0198,#Shameless Will you people stand up and answer the query or will continue to fool customers?,We'd be happy to take a look. Please DM us your account email and the trip details so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0199,This ulookaapattey cheated my friend. See how he drove. Driver knew his customer phone battery was dead.,Hey Ahmed! Can you DM us your account email so we can further connect? Thank you.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0200,I did unfortunately no reply two days already,We're here to help! Send us a DM with your email address so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0201,when ya uber smells like weed,We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0202,"to worsen matters, he turned off his line. If I wasn't observant I wonder what would have happened!","We'll be happy to review this charge, Collins! Please reach out at and we'll take a look.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0203,Excuse me why did you leave out a whole college?? This is messed up,Check out to learn more about UberEATS availability.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0204,I’m still salty like 17 whole minutes for a ride that’s usually 7-10 🙄🙄 and the other rider was down the street so it’s not like that added the extra seven minutes. That added all of three at best. run me my refund.,Send us a note here; and our team will be able to help!,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0205,"Booked a cab , driver picked the call, enqrd abt drop point n cancelled the call, not responding to my calls, wht to do",Here to help! Send us a note at so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0206,"used the 20hdfc promo code. However, get an error message saying the same code cannot be used. Have not used to code before",Here to help! Follow up here; and our team will connect right away.,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
UBER_0207,Why are my documents taking long to review and approve? Now the system has locked me out,We see your message and will be following up via DM.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0208,Fucking Australia says delivered but never showed up. And they fucking hung up on me,Oh no! We want to help. Please DM us the email and phone number linked to your account and we will follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0209,Can't see it on receipt etc.,Will you please DM us with your email address associated with your account and the details of the trip and service? We'll look into it.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0210,"When my mum called for an Uber and the driver arrived they said that we are not allowed to get in as there is a baby. But for the past few months that we used it, NON of the drivers pointed this out. Would like you to check on your drivers. Caused a lot of inconveniences for us.","Due to our privacy policy, we will have to speak directly to the account holder. Please have them contact us via",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0211,Already did but nothing is working out.,"Happy to further assist you. You can use this link instead; if you'd like, you can also DM (direct message) us with your email address so we can connect.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0212,why don’t XL vehicles her long pick up fee,We're happy to help! A member of our team is looking into this matter and will reach out to you as soon as possible. Thank you for your continued patience.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0213,This is what m getting everytime...Any response to this ?,Sorry to hear about the trouble! We're not seeing any issues on our end. Have you tried clearing your cookies?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0214,I received the email that I’m eligible to get a ride pass but when I get on the app it says they’re all out!,"Hi, Mariela. If the purchase screen says the offer is sold out, you'll unfortunately be unable to purchase a ride pass for the month. Stay tuned for other offers and promotions in the future. We appreciate your understanding.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0215,your support teams are not able to link my number (9818883774) with my own profile(__email__). Asking mail from some account which I don’t know. There’s no other account and this is my own number. Provide some solution.,We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0216,"this is strange, the money got debited from my bank account and yet I am being asked to pay for the previous trip before I can book the next one. Plz check this asap",We're here to help! Send us a note via so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0217,Driver started the trip without picking me up. I’ve charged incorrectly as driver not turned up at my location.,"Here to help, Rishi! Please connect with us here; so we can take a look at this trip for you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0218,"I forgot to take my important medical documents while leaving the cab and when I am asking Uber for help, below is the response from them:","Hi, Alok. Please send us a DM so we can follow up on this.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0219,Y’all. My driver stole my food... on thanksgiving. 😩,We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0220,booked uber and waited for 25 minutes and driver calls to inform me to cancel the ride. Bullshit service,Sorry to hear that! Send us a note here: so we can connect.,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
UBER_0221,I Waite 50 mins for a 5 min ride. Horrible customer service.,Sorry to hear that! Send us a note here: so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0222,"absolutely disgusted! My driver accepted my job, but was actually in ALDI!! 5 mins wait time turned into 15!!! Not happy!!!","Sorry for the trouble! Send us a note here, and our team will be in touch.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0223,What is going on with my account? You guys really need to work on that lousy app. Please rectify the issue ASAP. Thank you,"We'd be happy to take a look, Andrew. Please send us the details to so we can follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0224,why do I get this text every time I order an Uber in Vegas?,We'll be happy to take a closer look. Send us a note via so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0225,"Can I use a ""first time user"" promo code if I signed up a while ago but I cancelled my fares and basically didn't use the service?",Hi there! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
UBER_0226,How do I use my account on a 2nd cell phone?,Hi there! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0227,Our food was supposed to be delivered 20 minutes ago. The status has been on “preparing your food” for the last 30 minutes.,Here to help. Send us a note at so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0228,"We had booked a cab for the airport, and are now late for our flight. On finally reaching him, the driver proceeded to abuse us over phone.",Happy to help! Please send us a note here: so we can look into this asap.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0229,Per your own statement you will charge the amount displayed in the app before the ride starts. And yet to have over charged???,"We're ready to look into this, Nipun. Please send us a message with details of the trip here: so we can follow up.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0230,19: Absolutely stunning service by . While booking it shown 35/- for pool. Driver was so great that he dropped me 1 KM before the destination. After that I observed that I have been charged 55/-. Contacted and they said it's their policy. #sucks !,We can definitely take a look! Send us a DM with your email address and details so we can follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0231,I better get a refund right now! I was charged for a ride that never picked me up,We're here to help! Send us a DM with your email address so we can follow up.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0232,I need help my food was cancelled for no reason.,Here to help! Send us a note via so our team can get in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0233,I took an Uber to a meeting & driver lied & said I was a party of four 2 double charge! In app support not resolving! Pls rspd,We'd be happy to take a look. Please DM us your account email so we can check on the status of your request.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0234,Thank you and for handling my issue,"Thanks for reaching out, Shannon. We have sent you an updated message via DM. Please check your inbox!",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0235,If I die today it is because my smart ass driver is texting and driving,That doesn't sound right! Contact us via and we'll be in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0236,"Already did, and was met with poor customer service. Likely won’t use this ride sharing service again.","Hello, Cristina. It appears that our team has followed up with you via email regarding this matter. If you have further questions or concerns, please reply to the email thread and we'll be sure to follow up with you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0237,"Hi, has the average Uber Eats delivery fee lessened since you guys recategorized our pay",We're here to help! Send us a DM with your email address so we can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0238,"hi team, I don't understand why you suspended my account, I'm respectful user from you, please help #Uber #Peru","Sorry to hear the trouble, Carlos! Please connect with us further about this at Thanks.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0239,You charged me a full ride for a cancelation fee. And your fucking app or website doesn't help. Where can I send an email?,We're here to help! Send us a DM with your email address so we can connect.,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
UBER_0240,I am charged thrice for the uberEATS order that I never placed. Orders were placed in UK while I stay in USA. Let me have my money back.,Here to help! Follow up here; and our team will connect right away.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0241,Hi I am still yet to get a response regarding this. I have dm'd you and you have not got back to me. I have an email with my uber receipt and journey and would like to contact the driver. Please could you help with this and respond to my DM.,We're currently reviewing this situation and we'll be in touch with you via DM shortly.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0242,"I have already raised issue there and got a ""refund"" against next ride? Your cancellation policy never mentions that refund will be against next ride. I dont want to redi again so i want refund in my account.",Happy to take a closer look! Send us a DM with your email address with details so we can follow up.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0243,"When driver doesn't deliver food, will ignore requests for refund, so don't use this service!",Let's take a further look into this. Please send us a DM with your email and phone number linked to your account.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
UBER_0244,When I open the GPS map on UberEATS and see that my driver has turned down the wrong street:,Here to help. Send us a note at so our team can connect.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0245,"thanks, but she has spoken to someone, but still no resolution. She needs to contact the driver, but he hasn't been reached.",Sorry to hear about this! Send a DM with the e-mail or phone number for the account holder and we'll look into it.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0246,hello uber! PLEASE HELP. I created an twitter account as there is no way to get in touch with you. I'm locked out of my act,"We want to take a look, Dan. We see your DM and will be connecting with you there. Thanks!",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0247,It's so sad to see that I need to put in all the efforts to contact you guys for the unprofessionalism.,We're happy to check the status of your support outreach. Please DM us the email linked to your account and we'll follow up.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0248,Now her phone is switched off. And no contact with driver.,We've followed up via DM!,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
UBER_0249,I had an issue with a recent trip and no one the help topics address the issue and there wasnt an option to write a comment under the,We're here to help. Please reach out us via DM with additional details and we'll be in touch.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
