conversation_id,customer_message,intent,escalation,reply_keywords,ground_truth_notes
GOLDEN_125,around and he charged me for this trip 537 INR so what the Hell* is this means we don’t have that much of extra money by the way ok . I need a very strict action on this other wise stop these cab because you don’t know the customer satisfaction 3/n,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_126,have multiple unauthorized charges from Uber on my account. Can someone please provide a phone number to call?,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_127,Take strict action!! I am facing lose,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_128,"Thanks, I've sent a DM to you.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_129,lost my phone in one of your cars,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_130,"I've wrote in 2x & was informed ""cancellation fee applies."" Driver didn't show -looked lost on my end- but came at my expense.",Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_131,"Hello, I was recently charged 10 PLN for leaving the municipal area of Lodz/Poland while in fact my destination was still within the city limits. Where can I find the exact boarder of the town which takes into account? Thanks Tomek",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_132,"Booked an XL. Was expecting an Innova as per the app. Instead got a horrible Xylo which was punctured, torn seats and a broken windshield. Extremely disappointed with Uber. To top it I was charged a cancellation fee of 150.",Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_133,my account was hacked. I changed my password. Is there anything else I should do? Please assist me,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_134,"Wooow. Two nights in a row messed up office dinner. Yesterday a random cancel, tonight a completely wrong order.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_135,I just received a response. It has been resolved with a full refund. Thanks!,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_136,Ubereats has the wrong address. My retail store is not a thai food place. How do we correct this?,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_137,sir sent you DM. waiting for reply. Thanks,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_138,"used the 20hdfc promo code. However, get an error message saying the same code cannot be used. Have not used to code before",App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_139,"When driver doesn't deliver food, will ignore requests for refund, so don't use this service!",Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_140,"my driver dropped me off at the wrong location for my interview, made me hella late",Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_141,Nah my bad for believeing in y'all lames,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_142,DM me I need to ask a question please,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_143,But that link is for the next driver. The one before was cancelled. i don't want to complain about the good driver.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_144,; ; Pathetic service by Uber. Amount deducted from PAYTM and cash was also collected by Driver. Uber is not ready to acknolwedge the error and reimburse the double payment. They want to avoid the situation and are not responding at all,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_145,how do we complain if drivers keep cancelling rides. They need cash and not payment through e-wallet.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_146,"you quoted £10 to 13 for my trip today but charged 17.37. .?? Surely you know London traffic, it was not rush hour!!",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_147,First time that an driver cancelled my trip. So disappointed!!!,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_148,I receive Promo Codes on 9707563790 no. When i logged in and try to use it. Its says promo code is not vaild for this account😡,App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_149,y’all driver left my order in the restaurant because it had three drinks. food was cold. horrible service,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_150,Could you please reply to my DM. I lost my phone and it would be great if you could provide me with the drivers number.,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_151,"When my mum called for an Uber and the driver arrived they said that we are not allowed to get in as there is a baby. But for the past few months that we used it, NON of the drivers pointed this out. Would like you to check on your drivers. Caused a lot of inconveniences for us.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_152,sent you a private message with details and also submitted a request through the link you gave. Please respond,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_153,Hey! I left my phone in my last ride. I can't track it down in other way since I have the two steps verification,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_154,still waiting for my account to be disabled 🤗,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_155,booked uber and waited for 25 minutes and driver calls to inform me to cancel the ride. Bullshit service,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_156,such unprofessional drivers you hire! The worst service I have ever had in recent times. Your driver was unprofessional and inturn I had to shell out money for it! Shame on you!,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_157,How do you make money in Dallas when your app can’t find a driver and cancels my orders after making me wait 45min... smh,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_158,Took to ORD today....driver charged me for his mileage back downtown after he dropped me off. Is this standard policy?,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_159,"#uber owes me £4 as a driver cancelled on me.Its fault, not mine, but 'policy.'I could end up owing a fortune..",Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_160,"that is unnecessarily to pay by self, that's not my problem. its uber driver problem he refused to drop my selected place..",Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_161,My account has been blocked without any reason.. may i know how can i unblock my account?? Its very problematic,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_162,"Can't trust ! Booking request showed fare of $43.80. Driver ignored navigation system guidance & my advice, taking a longer route. Uber charged $49.52. Uber quoted $50 for return trip. I took Yellow Cab home for $28. Can't connect with .",Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_163,My last trip I lost one item but was charged the lost item fee twice. Customer service will not issue a refund for the 2nd fee,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_164,"hey I put in an order on the eats app yesterday and it the restaurant hadn’t confirmed the order in over 5 mins so I decided to cancel it. I still got charged the full amount, I was wondering if I could be refunded",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_165,Currently sitting in an Uber and the driver is deviating from the route since the last 30 minutes in search of CNG Gas. He has been driving at a speed of 100 kmph. Absolutely unprofessional behaviour. Never travelling Uber again,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_166,. This driver 1. Asked abt the drop when I called to chk his location and claimed nothing wrong in asking abt drop as per Uber policy 2. Arrived at wrong pick up location and then cancelled when asked to come to the desired point Refund cancellation fees,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_167,"The promo code worked, but it won't let me take the ride",App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_168,I just want a refund. The driver took the wrong food back so now i dont have anything,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_169,Right so when I click it it says enter email that the account is linked to and then says its sent the link to that email... I cannot get in,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_170,Hey can we talk about the horrible driver who left me stranded and why I had to pay an extra 12 bucks to get home while being charged for a full ride to and from then getting stranded at 1:30 in morning,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_171,just had the most aggressively rude driver I've ever had the misfortune of being picked up by. I was out in less than a minute due to his harsh behaviour. And then I got a cancellation fee. The man who just picked me up should not work In the service industry!,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_172,Inr 450 spent on my card bt funds not added to wallet!!!,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_173,this aashole cancel the trip after 10 min ans you charged me for this. Very unprofessional,Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_174,Driver denied his duty even has refused to cancel the trip... Lets see what can give to its customers attached screenshot of drivers details for reference,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_175,whe. Your driver cancels after you wait forever because you have a dog #somuchfun -.-,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_176,hello uber support please contact me asap its very urgent i have left personal messages please do check them,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_177,Your drivers are getting worse by the day. Taking ridiculously long routes on purpose is not the 'good service' you claim to offer.,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_178,"cheater no. 1. booked cab thrice: first time cabbie asked to meet at his desire point and when i denied he cancelled, second the cabbie cancelled and third time u charged me when i cancelled. Going to uninstall ur app, auto walas more professional than u.",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_179,Is the service conditioned according to place where I go? #AngryTime,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_180,I need a follow up now. They owe me $200,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_181,give me 1 rsn why shud i pay for a cancelling fee when driver is at same point for 15mins and waiting for me to cancel,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_182,still waiting for a reply for my refund so I can delete your dumb app and use Lyft.,Refund Request,ESCALATE,"refund, review, trip details, fare adjustment, DM",Explicit demand for monetary refund or fee reversal requiring billing team action.
GOLDEN_183,why do I get this text every time I order an Uber in Vegas?,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_184,can I get a cancelation fee refunded? I was just watching this lady turn the wrong way over and over dropping off someone before me,Drop-off / Route Issue,AUTO_HANDLE,"route review, trip history, fare review, DM",Inefficient route or incorrect drop-off location report.
GOLDEN_185,had three drivers cancel my trip tonight. Really frustrating,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_186,"Team, that’s what my question is, why can’t we change the payment method??",Payment Failure,AUTO_HANDLE,"payment method, bank, update card, app settings, help",Card processing failure or bank decline handled via self-service payment update steps.
GOLDEN_187,I already filled that form 48 hrs ago... no one contacted back & the forgot password link is hazardous.... see the screenshot I typed number it shows me wrong email,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_188,Due to use of cell phone my driver had a sever accident in which my 6year old boy get hurt . Now he is scared to sit in any car .,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_189,:( I left my keys in the car & my driver isn’t contacting me back. Please help!!,Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_190,"One of your cab driver stolen my phone, I have been trying to contact customer care services regarding this from yesterday morning, no positive response to me still now, really frustrated about this bad experience, a poor service from uber.",Lost Item,AUTO_HANDLE,"help section, lost item, driver contact, app, retrieve",Standard self-service lost item retrieval workflow via Uber app Help section.
GOLDEN_191,If this doesn’t show that he’s drunk maybe the dui will #missedourflight #worstdayever,Safety Concern,ESCALATE,"safety, investigate, direct message, contact details, support team","Critical safety alert involving passenger safety, harassment, or physical accident requiring immediate human investigation."
GOLDEN_192,why are my last trips not processing. I’d like to get paid.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_193,"So if I cancel a confirmed ride, I get charged $10. However, if the driver cancels I'm just SOL?",Fare / Overcharge Issue,ESCALATE,"fare review, account details, trip fare, DM, assist",Pricing discrepancy or overcharge requiring trip log verification and adjustment.
GOLDEN_194,"I do not have any outstanding payments, my payment type is good, but I cannot request a ride. I keep getting an error message. Help links are useless. Any assistance would be great.",General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_195,why isn’t my Uber rating showing?,Driver Complaint,ESCALATE,"driver feedback, safety team, apologize, report, DM",Interpersonal conduct or quality complaint against driver partner requiring review.
GOLDEN_196,"Can I use a ""first time user"" promo code if I signed up a while ago but I cancelled my fares and basically didn't use the service?",App Technical Issue,AUTO_HANDLE,"update app, restart, clear cache, promo details, support note","Technical app bug, UI crash, or promo code application error."
GOLDEN_197,I've been waiting for an order for almost TWO HOURS and you won't let me cancel. Absolute piss take.,Pickup Problem,AUTO_HANDLE,"apologize, contact us, DM, trip details, team connect","Driver dispatch, no-show, or delayed arrival inquiry handled via standard assistance."
GOLDEN_198,My girlfriend and I have been having nothing but problems with you guys. Have $100 in gift cards that we aren't able to use. Keep getting error messages and its a brand new account. Have messaged support 3 times with no response. SOS,Account Access / Security,ESCALATE,"account email, phone number, sign in, verify, DM","Account credentials, lockouts, or security issues requiring human agent identity verification."
GOLDEN_199,When is coming to Toronto? This ride is killing me.,General Inquiry,AUTO_HANDLE,"happy to help, contact us, DM, information, assistance","General inquiry regarding service policies, receipt requests, or product availability."
GOLDEN_200,3 of my credit cards got declined. It says unable to accept this payment method. Try another one. Thoughts?,Payment Failure,AUTO_HANDLE,"payment method, bank, update card, app settings, help",Card processing failure or bank decline handled via self-service payment update steps.
